Month    ProductName  TotalQuantity
2022-06  J0343        14           
2022-06  J0340        14           
2022-06  J0335        14           
2022-06  J0285        14           
2022-06  J0283        14           
2022-06  J0283        14           
2022-06  J0281        14           
2022-06  J0164        14           
2022-06  J0152        14           
2022-06  J0009        14           
2022-06  J0006        14           
2022-06  J0004        14           
2022-06  J0002        14           
2022-06  J0002        14           
2022-06  SET444       13           
2022-06  SET402       13           
2022-06  SET401       13           
2022-06  SET400       13           
2022-06  SET351       13           
2022-06  SET347       13           
2022-06  SET343       13           
2022-06  SET333       13           
2022-06  SET327       13           
2022-06  SET317       13           
2022-06  SET317       13           
2022-06  SET310       13           
2022-06  SET310       13           
2022-06  SET291       13           
2022-06  SET288       13           
2022-06  SET286       13           
2022-06  SET224       13           
2022-06  SET145       13           
2022-06  PSET264      13           
2022-06  PJNE3068     13           
2022-06  PJNE2199     13           
2022-06  NW016        13           
2022-06  MEN5004      13           
2022-06  JNE3887      13           
2022-06  JNE3861      13           
2022-06  JNE3807      13           
2022-06  JNE3801      13           
2022-06  JNE3799      13           
2022-06  JNE3793      13           
2022-06  JNE3749      13           
2022-06  JNE3739      13           
2022-06  JNE3735      13           
2022-06  JNE3718      13           
2022-06  JNE3710      13           
2022-06  JNE3665      13           
2022-06  JNE3659      13           
2022-06  JNE3648      13           
2022-06  JNE3634      13           
2022-06  JNE3601      13           
2022-06  JNE3522      13           
2022-06  JNE3487      13           
2022-06  JNE3482      13           
2022-06  JNE3465      13           
2022-06  JNE3463      13           
2022-06  JNE3458      13           
2022-06  JNE3405      13           
2022-06  JNE3399      13           
2022-06  JNE3366      13           
2022-06  JNE3334      13           
2022-06  J0413        13           
2022-06  J0413        13           
2022-06  J0379        13           
2022-06  J0354        13           
2022-06  J0354        13           
2022-06  J0332        13           
2022-06  J0280        13           
2022-06  J0127        13           
2022-06  J0041        13           
2022-06  J0004        13           
2022-06  J0002        13           
2022-06  SET435       12           
2022-06  SET415       12           
2022-06  SET396       12           
2022-06  SET395       12           
2022-06  SET383       12           
2022-06  SET375       12           
2022-06  SET374       12           
2022-06  SET369       12           
2022-06  SET369       12           
2022-06  SET363       12           
2022-06  SET359       12           
2022-06  SET342       12           
2022-06  SET319       12           
2022-06  SET279       12           
2022-06  SET278       12           
2022-06  SET184       12           
2022-06  SET179       12           
2022-06  SET044       12           
2022-06  PJNE2171     12           
2022-06  NW016        12           
2022-06  NW005        12           
2022-06  NW005        12           
2022-06  MEN5027      12           
2022-06  MEN5023      12           
2022-06  MEN5022      12           
2022-06  MEN5022      12           
2022-06  MEN5015      12           
2022-06  JNE3904      12           
2022-06  JNE3887      12           
2022-06  JNE3879      12           
2022-06  JNE3861      12           
2022-06  JNE3860      12           
2022-06  JNE3811      12           
2022-06  JNE3806      12           
2022-06  JNE3806      12           
2022-06  JNE3793      12           
2022-06  JNE3790      12           
2022-06  JNE3757      12           
2022-06  JNE3757      12           
2022-06  JNE3739      12           
2022-06  JNE3718      12           
2022-06  JNE3674      12           
2022-06  JNE3660      12           
2022-06  JNE3648      12           
2022-06  JNE3648      12           
2022-06  JNE3638      12           
2022-06  JNE3618      12           
2022-06  JNE3506      12           
2022-06  JNE3501      12           
2022-06  JNE3366      12           
2022-06  JNE3160      12           
2022-06  JNE2014      12           
2022-06  J0413        12           
2022-06  J0373        12           
2022-06  J0354        12           
2022-06  J0346        12           
2022-06  J0343        12           
2022-06  J0342        12           
2022-06  J0283        12           
2022-06  J0277        12           
2022-06  J0213        12           
2022-06  J0164        12           
2022-06  J0118        12           
2022-06  SET436       11           
2022-06  SET408       11           
2022-06  SET397       11           
2022-06  SET389       11           
2022-06  SET363       11           
2022-06  SET356       11           
2022-06  SET351       11           
2022-06  SET350       11           
2022-06  SET343       11           
2022-06  SET342       11           
2022-06  SET335       11           
2022-06  SET328       11           
2022-06  SET319       11           
2022-06  SET317       11           
2022-06  SET317       11           
2022-06  SET305       11           
2022-06  SET286       11           
2022-06  SET281       11           
2022-06  SET224       11           
2022-06  SET217       11           
2022-06  SET187       11           
2022-06  SET186       11           
2022-06  SET186       11           
2022-06  SET182       11           
2022-06  SET144       11           
2022-06  SET014       11           
2022-06  PJNE3291     11           
2022-06  NW030        11           
2022-06  NW016        11           
2022-06  NW016        11           
2022-06  NW013        11           
2022-06  NW013        11           
2022-06  MEN5015      11           
2022-06  JNE3905      11           
2022-06  JNE3860      11           
2022-06  JNE3802      11           
2022-06  JNE3801      11           
2022-06  JNE3799      11           
2022-06  JNE3798      11           
2022-06  JNE3797      11           
2022-06  JNE3794      11           
2022-06  JNE3764      11           
2022-06  JNE3749      11           
2022-06  JNE3749      11           
2022-06  JNE3722      11           
2022-06  JNE3722      11           
2022-06  JNE3720      11           
2022-06  JNE3716      11           
2022-06  JNE3665      11           
2022-06  JNE3613      11           
2022-06  JNE3567      11           
2022-06  JNE3566      11           
2022-06  JNE3522      11           
2022-06  JNE3518      11           
2022-06  JNE3439      11           
2022-06  JNE3363      11           
2022-06  JNE3160      11           
2022-06  JNE3160      11           
2022-06  JNE2305      11           
2022-06  JNE2270      11           
2022-06  JNE2014      11           
2022-06  J0413        11           
2022-06  J0385        11           
2022-06  J0385        11           
2022-06  J0379        11           
2022-06  J0353        11           
2022-06  J0341        11           
2022-06  J0339        11           
2022-06  J0336        11           
2022-06  J0277        11           
2022-06  J0217        11           
2022-06  J0216        11           
2022-06  J0127        11           
2022-06  J0113        11           
2022-06  J0097        11           
2022-06  J0095        11           
2022-06  J0012        11           
2022-06  J0009        11           
2022-06  J0002        11           
2022-06  SET444       10           
2022-06  SET436       10           
2022-06  SET435       10           
2022-06  SET405       10           
2022-06  SET401       10           
2022-06  SET398       10           
2022-06  SET396       10           
2022-06  SET369       10           
2022-06  SET348       10           
2022-06  SET348       10           
2022-06  SET347       10           
2022-06  SET341       10           
2022-06  SET341       10           
2022-06  SET340       10           
2022-06  SET339       10           
2022-06  SET339       10           
2022-06  SET335       10           
2022-06  SET330       10           
2022-06  SET330       10           
2022-06  SET329       10           
2022-06  SET328       10           
2022-06  SET328       10           
2022-06  SET310       10           
2022-06  SET310       10           
2022-06  SET304       10           
2022-06  SET286       10           
2022-06  SET282       10           
2022-06  SET277       10           
2022-06  SET233       10           
2022-06  SET233       10           
2022-06  SET224       10           
2022-06  SET203       10           
2022-06  SET187       10           
2022-06  SET186       10           
2022-06  SET144       10           
2022-06  PJNE3399     10           
2022-06  PJNE3368     10           
2022-06  NW014        10           
2022-06  NW013        10           
2022-06  MEN5032      10           
2022-06  MEN5022      10           
2022-06  MEN5019      10           
2022-06  MEN5015      10           
2022-06  MEN5011      10           
2022-06  MEN5008      10           
2022-06  MEN5008      10           
2022-06  MEN5004      10           
2022-06  MEN5002      10           
2022-06  JNE3904      10           
2022-06  JNE3880      10           
2022-06  JNE3869      10           
2022-06  JNE3836      10           
2022-06  JNE3810      10           
2022-06  JNE3807      10           
2022-06  JNE3806      10           
2022-06  JNE3799      10           
2022-06  JNE3738      10           
2022-06  JNE3716      10           
2022-06  JNE3714      10           
2022-06  JNE3659      10           
2022-06  JNE3640      10           
2022-06  JNE3633      10           
2022-06  JNE3608      10           
2022-06  JNE3522      10           
2022-06  JNE3510      10           
2022-06  JNE3501      10           
2022-06  JNE3482      10           
2022-06  JNE3376      10           
2022-06  JNE3376      10           
2022-06  JNE3376      10           
2022-06  JNE3334      10           
2022-06  JNE3291      10           
2022-06  JNE3265      10           
2022-06  JNE3261      10           
2022-06  JNE2291      10           
2022-06  JNE2014      10           
2022-06  J0400        10           
2022-06  J0391        10           
2022-06  J0379        10           
2022-06  J0354        10           
2022-06  J0344        10           
2022-06  J0342        10           
2022-06  J0295        10           
2022-06  J0285        10           
2022-06  J0281        10           
2022-06  J0239        10           
2022-06  J0230        10           
2022-06  J0207        10           
2022-06  J0164        10           
2022-06  J0158        10           
2022-06  J0119        10           
2022-06  J0118        10           
2022-06  J0117        10           
2022-06  J0095        10           
2022-06  J0013        10           
2022-06  J0012        10           
2022-06  J0011        10           
2022-06  J0005        10           
2022-06  J0005        10           
2022-06  SET444       9            
2022-06  SET444       9            
2022-06  SET433       9            
2022-06  SET413       9            
2022-06  SET403       9            
2022-06  SET401       9            
2022-06  SET401       9            
2022-06  SET400       9            
2022-06  SET397       9            
2022-06  SET395       9            
2022-06  SET375       9            
2022-06  SET369       9            
2022-06  SET363       9            
2022-06  SET359       9            
2022-06  SET355       9            
2022-06  SET351       9            
2022-06  SET342       9            
2022-06  SET342       9            
2022-06  SET330       9            
2022-06  SET330       9            
2022-06  SET322       9            
2022-06  SET287       9            
2022-06  SET287       9            
2022-06  SET279       9            
2022-06  SET277       9            
2022-06  SET277       9            
2022-06  SET277       9            
2022-06  SET272       9            
2022-06  SET252       9            
2022-06  SET220       9            
2022-06  SET220       9            
2022-06  SET217       9            
2022-06  SET209       9            
2022-06  SET187       9            
2022-06  SET145       9            
2022-06  SET131       9            
2022-06  SET128       9            
2022-06  PSET268      9            
2022-06  PJNE3440     9            
2022-06  PJNE3291     9            
2022-06  PJNE3252     9            
2022-06  PJNE2171     9            
2022-06  NW020        9            
2022-06  NW004        9            
2022-06  MEN5026      9            
2022-06  MEN5021      9            
2022-06  MEN5012      9            
2022-06  MEN5006      9            
2022-06  MEN5002      9            
2022-06  JNE3905      9            
2022-06  JNE3888      9            
2022-06  JNE3887      9            
2022-06  JNE3879      9            
2022-06  JNE3879      9            
2022-06  JNE3878      9            
2022-06  JNE3865      9            
2022-06  JNE3863      9            
2022-06  JNE3863      9            
2022-06  JNE3838      9            
2022-06  JNE3837      9            
2022-06  JNE3807      9            
2022-06  JNE3793      9            
2022-06  JNE3786      9            
2022-06  JNE3785      9            
2022-06  JNE3775      9            
2022-06  JNE3775      9            
2022-06  JNE3761      9            
2022-06  JNE3757      9            
2022-06  JNE3716      9            
2022-06  JNE3702      9            
2022-06  JNE3691      9            
2022-06  JNE3651      9            
2022-06  JNE3648      9            
2022-06  JNE3648      9            
2022-06  JNE3636      9            
2022-06  JNE3633      9            
2022-06  JNE3633      9            
2022-06  JNE3620      9            
2022-06  JNE3618      9            
2022-06  JNE3618      9            
2022-06  JNE3618      9            
2022-06  JNE3611      9            
2022-06  JNE3601      9            
2022-06  JNE3560      9            
2022-06  JNE3516      9            
2022-06  JNE3515      9            
2022-06  JNE3501      9            
2022-06  JNE3459      9            
2022-06  JNE3437      9            
2022-06  JNE3412      9            
2022-06  JNE3405      9            
2022-06  JNE3363      9            
2022-06  JNE3334      9            
2022-06  JNE3160      9            
2022-06  JNE2291      9            
2022-06  JNE2270      9            
2022-06  JNE2049      9            
2022-06  JNE2014      9            
2022-06  J0385        9            
2022-06  J0382        9            
2022-06  J0353        9            
2022-06  J0352        9            
2022-06  J0349        9            
2022-06  J0344        9            
2022-06  J0338        9            
2022-06  J0336        9            
2022-06  J0335        9            
2022-06  J0306        9            
2022-06  J0280        9            
2022-06  J0244        9            
2022-06  J0013        9            
2022-06  J0006        9            
2022-06  J0005        9            
2022-06  J0004        9            
2022-06  J0004        9            
2022-06  SET444       8            
2022-06  SET436       8            
2022-06  SET435       8            
2022-06  SET433       8            
2022-06  SET415       8            
2022-06  SET414       8            
2022-06  SET413       8            
2022-06  SET397       8            
2022-06  SET359       8            
2022-06  SET355       8            
2022-06  SET344       8            
2022-06  SET341       8            
2022-06  SET335       8            
2022-06  SET334       8            
2022-06  SET334       8            
2022-06  SET333       8            
2022-06  SET330       8            
2022-06  SET322       8            
2022-06  SET319       8            
2022-06  SET300       8            
2022-06  SET277       8            
2022-06  SET268       8            
2022-06  SET264       8            
2022-06  SET264       8            
2022-06  SET239       8            
2022-06  SET233       8            
2022-06  SET227       8            
2022-06  SET188       8            
2022-06  SET186       8            
2022-06  SET130       8            
2022-06  SET058       8            
2022-06  SET055       8            
2022-06  SET044       8            
2022-06  PJNE3440     8            
2022-06  PJNE1906     8            
2022-06  NW030        8            
2022-06  NW029        8            
2022-06  NW029        8            
2022-06  NW020        8            
2022-06  NW003        8            
2022-06  MEN5029      8            
2022-06  MEN5027      8            
2022-06  MEN5027      8            
2022-06  MEN5023      8            
2022-06  MEN5011      8            
2022-06  MEN5007      8            
